Column1;publisheddate;clean_text;Stock Name;symbol;Date;yusuf_bert;furkanU_bert;Sena_bert;model_3;before;now;after
180;23.01.2023 10:00;surface pro review microsofts best tablet pick right one;Microsoft;MSFT;23.01.2023;Positive;Positive;Neutral;;2403500061;2358099976;2319299927
181;5.01.2023 10:30;awe dacher keltner review transformative power wonder;Tesla;TSLA;5.01.2023;Positive;Positive;Neutral;;1218199997;1231800003;1080999985
182;25.03.2023 09:00;infinity pool succession complete guide week entertainment;Amazon;AMZN;25.03.2023;Positive;Positive;Neutral;;9770999908;1006100006;9869999695
183;31.01.2023 17:46;scary corporate america hitting back union;Apple;AAPL;31.01.2023;Negative;Negative;Neutral;;1425299988;1418600006;1439600067
184;27.01.2023 14:45;guide top gun tár best picture oscar nominee ranked;Tesla;TSLA;27.01.2023;Positive;Positive;Neutral;;1334199982;14375;1438899994
185;18.02.2023 22:00;broadcasting breakfast tiktokers ob morning routine;Tesla;TSLA;18.02.2023;Negative;Negative;Neutral;;1946399994;20925;2142400055
186;13.02.2023 14:12;octagonal flying object shot michigan first thing;Microsoft;MSFT;13.02.2023;Positive;Negative;Neutral;;256769989;2675599976;266730011
187;18.02.2023 15:00;retail transport ai changing every corner economy;Apple;AAPL;18.02.2023;Negative;Positive;Neutral;;1538500061;1531999969;1553300018
188;11.02.2023 14:55;feel warm fuzzy hallmark built empire unashamedly schmaltzy rom coms;Microsoft;MSFT;11.02.2023;Positive;Positive;Neutral;;256769989;2675599976;266730011
189;22.05.2023 08:00;sort toxic behaviour timnit gebru sacking google ai danger big tech bias;Google;GOOG;22.05.2023;Negative;Negative;Neutral;;1169599991;1200899963;1214800034
190;18.01.2023 17:00;revealed rainforest carbon offset biggest certifier worthless analysis show;Amazon;AMZN;18.01.2023;Negative;Positive;Neutral;;9508999634;9526999664;9812000275
191;26.03.2023 09:00;buttock clenching moment excruciating joy famous succession fan favourite scene;Tesla;TSLA;26.03.2023;Positive;Negative;Neutral;;18325;1975800018;1911499939
192;30.06.2023 18:38;eurozone inflation drop uk recession fear linger apple hit trn valuation happened;Apple;AAPL;30.06.2023;Negative;Negative;Negative;;1866799927;1852700043;1880599976
193;21.07.2023 20:55;zelenskiy condemns donetsk attack say two child died happened;Tesla;TSLA;21.07.2023;Negative;Negative;Negative;;2813800049;2903800049;2933399963
194;6.03.2023 18:38;uk construction sector rebound recession fear fade car sale jump happened;Amazon;AMZN;6.03.2023;Negative;Negative;Negative;;9376000214;9423000336;9216999817
195;20.07.2023 21:03;ash england v australia fourth test day two happened;Tesla;TSLA;20.07.2023;Negative;Negative;Neutral;;2778999939;2813800049;2903800049
196;13.07.2023 11:40;mp say byelections unpredictable happened;Microsoft;MSFT;13.07.2023;Negative;Negative;Neutral;;341269989;3372200012;3318299866
197;21.02.2023 10:47;mp give first speech parliament happened;Microsoft;MSFT;21.02.2023;Positive;Positive;Neutral;;2721700134;2693200073;2621499939
198;20.07.2023 15:04;google testing ai tool writes news article;Google;GOOG;20.07.2023;Positive;Positive;Neutral;;1248300018;1256999969;1250599976
199;24.07.2023 09:00;breast surgeon breast cancer used say “ dont google ” first thing google;Google;GOOG;24.07.2023;Negative;Negative;Neutral;;1250599976;1240800018;1227799988
200;3.08.2023 20:00;google launch privacy tool remove unwanted personal image;Google;GOOG;3.08.2023;Positive;Negative;Neutral;;1298699951;1330099945;1331100006
201;9.05.2023 13:05;google stonewalling regulation brazil natalia viana;Google;GOOG;9.05.2023;Negative;Negative;Neutral;;1059800034;1061200027;1052099991
202;26.07.2023 18:20;google microsoft openai startup form body regulate ai development;Google;GOOG;26.07.2023;Negative;Positive;Neutral;;1227799988;1195299988;1203099976
203;10.05.2023 22:00;google launch pixel fold tablet android device;Google;GOOG;10.05.2023;Positive;Positive;Neutral;;1061200027;1052099991;1062149963
204;14.06.2023 14:58;eu regulator order google sell part ad tech business;Google;GOOG;14.06.2023;Negative;Positive;Neutral;;1229400024;1226699982;1228700027
205;5.07.2023 09:00;google pixel fold review slick phone tablet hybrid killer camera;Google;GOOG;5.07.2023;Negative;Positive;Neutral;;1210800018;1200100021;1209700012
206;6.06.2023 19:34;covid inquiry head row government google space redaction;Google;GOOG;6.06.2023;Negative;Positive;Neutral;;1246399994;1233700027;1243700027
207;5.06.2023 16:06;google facebook urged eu label ai generated content;Google;GOOG;5.06.2023;Positive;Positive;Neutral;;1246399994;1233700027;1243700027
208;3.08.2023 08:00;meta google youtube profiting post bogus woman health cure kenya;Google;GOOG;3.08.2023;Negative;Negative;Neutral;;1298699951;1330099945;1331100006
209;3.06.2023 14:00;amazon google fund anti abortion lawmaker complex shell game;Google;GOOG;3.06.2023;Negative;Negative;Neutral;;1246399994;1233700027;1243700027
210;3.08.2023 09:00;ai google ups ante free uk training course firm;Google;GOOG;3.08.2023;Positive;Positive;Neutral;;1298699951;1330099945;1331100006
211;15.06.2023 07:01;google earned ad misdirecting abortion seeker pregnancy crisis center;Google;GOOG;15.06.2023;Negative;Negative;Neutral;;1226699982;1228700027;1243499985
212;28.06.2023 08:13;google may misled dozen advertiser violated guideline report;Google;GOOG;28.06.2023;Negative;Negative;Negative;;1212600021;1238700027;1230199966
213;19.07.2023 03:00;apple google face block taking cut app purchase australia;Apple;AAPL;19.07.2023;Negative;Negative;Neutral;;1897700043;1905399933;1906900024
214;9.08.2023 02:00;google say ai system able mine publisher work unless company opt;Google;GOOG;8.08.2023;Positive;Positive;Neutral;;1318899994;1286399994;1287700043
215;17.04.2023 13:43;google chief warns ai could harmful deployed wrongly;Google;GOOG;17.04.2023;Negative;Negative;Negative;;1069499969;1061200027;1052200012
216;15.05.2023 09:00;google pixel review best mid range phone get even better;Google;GOOG;15.05.2023;Positive;Positive;Positive;;1082399979;1079400024;1122799988
217;19.04.2023 15:05;google allows app developer break away play billing system;Google;GOOG;19.04.2023;Positive;Negative;Neutral;;1052200012;1081900024;1094599991
218;4.05.2023 10:28;google roll passkey technology beginning end password;Google;GOOG;4.05.2023;Negative;Positive;Neutral;;1083700027;1082200012;1077099991
219;28.04.2023 06:55;mariupol updated google map reveal destruction ukraine city;Google;GOOG;28.04.2023;Negative;Positive;Neutral;;1059100037;1067799988;1046100006
220;3.02.2023 17:13;google poised release chatbot technology chatgpt success;Google;GOOG;3.02.2023;Positive;Positive;Neutral;;1007099991;9794999695;9987000275
221;25.05.2023 04:49;big mango google doodle celebrates bowens giant tourist attraction colourful past;Google;GOOG;25.05.2023;Positive;Positive;Neutral;;1235199966;12325;1258700027
222;6.04.2023 10:30;google map pokémon go john hanke programming future;Google;GOOG;6.04.2023;Positive;Positive;Neutral;;1013199997;104;1049100037
223;2.05.2023 14:23;godfather ai geoffrey hinton quits google warns danger misinformation;Google;GOOG;2.05.2023;Negative;Negative;Neutral;;1046100006;1044499969;1083700027
224;20.01.2023 17:56;google parent firm alphabet cut job worldwide;Google;GOOG;20.01.2023;Negative;Negative;Negative;;9280000305;9216000366;9177999878
225;10.02.2023 18:42;google v microsoft win ai chatbot race;Google;GOOG;10.02.2023;Positive;Positive;Neutral;;1052200012;1034700012;1080400009
226;5.05.2023 18:09;google engineer warns could lose open source technology ai race;Google;GOOG;5.05.2023;Negative;Negative;Negative;;1082200012;1077099991;1059800034
227;10.05.2023 21:00;google launch new ai palm attempt regain leadership pack;Google;GOOG;10.05.2023;Positive;Positive;Positive;;1061200027;1052099991;1062149963
228;23.07.2023 18:00;dr google ai could doctor pocket company health officer urge caution limit;Google;GOOG;23.07.2023;Negative;Positive;Neutral;;1250599976;1240800018;1227799988
229;11.07.2023 13:15;pillage thirsty uruguayan decry google plan exploit water supply;Google;GOOG;11.07.2023;Negative;Negative;Neutral;;1226299973;1209300003;1201399994
230;6.02.2023 22:47;google trial ai chatbot bard success chatgpt;Google;GOOG;6.02.2023;Positive;Positive;Neutral;;9794999695;9987000275;1014300003
231;19.04.2023 07:40;google call relaxing australia copyright law ai mine website information;Google;GOOG;19.04.2023;Negative;Negative;Neutral;;1052200012;1081900024;1094599991
232;21.03.2023 17:00;google bard chatbot launch u uk;Google;GOOG;21.03.2023;Positive;Positive;Neutral;;9425;9655000305;1010699997
233;9.02.2023 04:47;google ai chatbot bard sends share plummeting give wrong answer;Google;GOOG;9.02.2023;Negative;Negative;Neutral;;1088000031;1052200012;1034700012
234;8.02.2023 02:41;microsoft power bing ai race google heat;Microsoft;MSFT;7.02.2023;Positive;Negative;Neutral;;2478099976;25275;2646000061
235;2.03.2023 04:59;google executive summoned canada mp blocking news content link tax;Google;GOOG;2.03.2023;Negative;Negative;Neutral;;9106999969;8934999847;9009999847
236;25.02.2023 16:00;google advert direct pregnant woman service run uk anti abortion group;Google;GOOG;25.02.2023;Negative;Positive;Neutral;;9205000305;9180000305;9106999969
237;29.04.2023 18:00;could ai save amazon rainforest;Amazon;AMZN;29.04.2023;Positive;Positive;Neutral;;1062099991;1025699997;1049800034
238;9.08.2023 00:48;brazilian president lula pledge new amazon dream rainforest summit;Amazon;AMZN;8.08.2023;Positive;Positive;Neutral;;1316900024;1282100067;1289100037
239;8.07.2023 15:00;white nationalist publisher data exposed amazon cloud leak;Amazon;AMZN;8.07.2023;Negative;Negative;Negative;;1302200012;1303800049;1283600006
240;2.06.2023 15:00;multinational company industrialised amazon rainforest;Amazon;AMZN;2.06.2023;Positive;Positive;Neutral;;1201100006;1216600037;1205800018
241;20.06.2023 20:19;bernie sander launch investigation working condition amazon;Amazon;AMZN;20.06.2023;Negative;Positive;Neutral;;1266600037;1264199982;1271100006
242;6.08.2023 20:17;indigenous activist gather brazil discus future amazon;Amazon;AMZN;6.08.2023;Positive;Negative;Neutral;;1336799927;1316900024;1282100067
243;31.07.2023 13:58;uk farmer donated £k amazon indigenous meeting could take place;Amazon;AMZN;31.07.2023;Positive;Positive;Neutral;;1288000031;1291300049;1281499939
244;5.06.2023 08:00;rethink reform rebuild step save amazon;Amazon;AMZN;5.06.2023;Positive;Positive;Neutral;;1216600037;1205800018;1227699966
245;2.06.2023 15:00;visual guide deforestation brazil amazon rainforest;Amazon;AMZN;2.06.2023;Positive;Positive;Neutral;;1201100006;1216600037;1205800018
246;22.06.2023 20:54;true believer ocado tempted amazon nil pratley;Amazon;AMZN;22.06.2023;Positive;Positive;Neutral;;1271100006;1254899979;1257799988
247;4.04.2023 14:07;amazon close book depository online shop;Amazon;AMZN;4.04.2023;Negative;Positive;Neutral;;9723999786;10025;102
248;17.07.2023 09:00;amazon fire max review nice looking tablet poor software;Amazon;AMZN;17.07.2023;Negative;Positive;Neutral;;1271299973;1287799988;1308000031
249;2.08.2023 19:10;amazon deforestation fall compared last july say brazilian minister;Amazon;AMZN;2.08.2023;Negative;Negative;Negative;;1281499939;12825;1322100067
250;8.08.2023 23:14;leader amazon nation gather brazil summit rainforest future;Amazon;AMZN;8.08.2023;Positive;Positive;Neutral;;1316900024;1282100067;1289100037
251;3.08.2023 15:06;hope lesson tiny reforestation scheme amazon;Amazon;AMZN;3.08.2023;Positive;Positive;Neutral;;12825;1322100067;1336799927
252;14.06.2023 09:00;amazon insisted report missing package police;Amazon;AMZN;14.06.2023;Negative;Negative;Negative;;1212300034;12425;1234300003
253;27.07.2023 15:33;want lula see indigenous chief continues fight amazon;Amazon;AMZN;27.07.2023;Positive;Negative;Neutral;;1299600067;130;1288000031
254;24.06.2023 13:00;going keep fighting delivery worker stand amazon;Amazon;AMZN;24.06.2023;Negative;Negative;Neutral;;1257799988;1248300018;1301499939
255;8.08.2023 08:00;small firm fear going bust amazon extends wait time sale proceeds;Amazon;AMZN;8.08.2023;Negative;Negative;Negative;;1316900024;1282100067;1289100037
256;23.05.2023 19:00;u regulator launch investigation worker death amazon warehouse;Amazon;AMZN;23.05.2023;Negative;Positive;Neutral;;1134000015;1155;1181500015
257;14.06.2023 17:25;amazon staff coventry vote six month strike;Amazon;AMZN;14.06.2023;Negative;Positive;Negative;;1212300034;12425;1234300003
258;14.06.2023 09:00;amazon fire ramping seller fee advertising cost;Amazon;AMZN;14.06.2023;Negative;Positive;Positive;;1212300034;12425;1234300003
259;28.06.2023 12:30;amazon facing urgent crime crisis gutting protection say drug tsar;Amazon;AMZN;28.06.2023;Negative;Negative;Negative;;1248300018;1301499939;1293300018
260;12.05.2023 19:14;amazon union member launch strike ballot two uk site;Amazon;AMZN;12.05.2023;Negative;Negative;Neutral;;1056600037;1058300018;1066200027
261;18.04.2023 17:00;uk company mining gold amazon disputed land;Amazon;AMZN;18.04.2023;Negative;Negative;Neutral;;9991999817;9783000183;1024000015
262;3.06.2023 14:00;amazon google fund anti abortion lawmaker complex shell game;Google;GOOG;3.06.2023;Negative;Negative;Neutral;;1246399994;1233700027;1243700027
263;2.06.2023 15:17;look corporation dominate amazon;Amazon;AMZN;2.06.2023;Positive;Positive;Neutral;;1201100006;1216600037;1205800018
264;22.06.2023 01:02;amazon duped million enrolling prime u regulator say lawsuit;Amazon;AMZN;21.06.2023;Negative;Positive;Neutral;;1264199982;1271100006;1254899979
265;31.03.2023 14:02;amazon worker coventry announce six new strike date;Amazon;AMZN;31.03.2023;Negative;Negative;Neutral;;9812999725;9804000092;9723999786
266;8.06.2023 15:38;gmb halt bid official amazon union claiming firm skewed staff number;Amazon;AMZN;8.06.2023;Negative;Negative;Negative;;1227699966;12425;1253000031
267;19.04.2023 13:05;lydia davis refuse sell next book amazon;Amazon;AMZN;19.04.2023;Negative;Negative;Neutral;;9783000183;1024000015;1025100021
268;15.04.2023 07:00;amazon doesnt care book barnes noble bounced back;Amazon;AMZN;15.04.2023;Positive;Negative;Neutral;;1021699982;9991999817;9783000183
269;30.05.2023 12:56;amazon uk offer parent term time working amid union battle;Amazon;AMZN;30.05.2023;Positive;Positive;Neutral;;1149899979;11675;115
270;28.05.2023 15:45;e bike charger posing fire risk found ebay amazon wishcom;Amazon;AMZN;28.05.2023;Negative;Negative;Negative;;1150100021;1149899979;11675
271;7.07.2023 16:47;ya author shoot amazon bestseller list viral tiktok video;Amazon;AMZN;7.07.2023;Positive;Positive;Neutral;;1303600006;1302200012;1303800049
272;11.07.2023 18:53;robot amazon uk worker striking prime day;Amazon;AMZN;11.07.2023;Negative;Negative;Neutral;;1303800049;1283600006;1297799988
273;17.03.2023 12:15;indigenous child suffer illegal miner amazon invasion;Amazon;AMZN;17.03.2023;Negative;Negative;Neutral;;9073000336;9243000031;9487999725
274;18.06.2023 19:27;social medium site failing curb cottage industry fake review amazon say;Amazon;AMZN;18.06.2023;Negative;Negative;Negative;;1265699997;1266600037;1264199982
275;7.07.2023 09:51;afternoon update robodebt report recommends prosecution another sydney shooting amazon deforestation drop;Amazon;AMZN;7.07.2023;Negative;Positive;Neutral;;1303600006;1302200012;1303800049
276;26.04.2023 08:15;amazon worker coventry request union recognition membership double;Amazon;AMZN;26.04.2023;Positive;Positive;Neutral;;1043000031;1038099976;1069599991
277;11.06.2023 18:22;going away amazon uk strike trio bullish gmb congress;Amazon;AMZN;11.06.2023;Positive;Negative;Neutral;;1253000031;1266100006;1212300034
278;28.04.2023 01:16;amazon beat expectation first quarter earnings share jump;Amazon;AMZN;27.04.2023;Positive;Positive;Positive;;1038099976;1069599991;1062099991
279;16.05.2023 12:00;noise pollution danger amazon warehouse upended sleepy new york neighborhood;Amazon;AMZN;16.05.2023;Negative;Positive;Neutral;;1066200027;1101900024;1121800003
280;2.06.2023 15:00;amazon tree felled six year meet beef demand;Amazon;AMZN;2.06.2023;Negative;Negative;Neutral;;1201100006;1216600037;1205800018
281;6.08.2023 14:00;look crisis amazon understand stake battling life mark ruffalo;Amazon;AMZN;6.08.2023;Negative;Negative;Neutral;;1336799927;1316900024;1282100067
282;16.04.2023 16:57;amazon worker coventry begin first two three day strike;Amazon;AMZN;16.04.2023;Negative;Negative;Neutral;;1021699982;9991999817;9783000183
283;26.05.2023 18:00;invoked shakespeare kates mclennan mccartney explaining australian swearing amazon;Amazon;AMZN;26.05.2023;Negative;Negative;Neutral;;11625;1150100021;1149899979
284;12.04.2023 11:44;hyundai urged stop illegal miner using machine amazon;Amazon;AMZN;12.04.2023;Positive;Positive;Negative;;1010999985;1020599976;1021699982
285;4.04.2023 09:00;alexa im dark amazon account disappeared;Amazon;AMZN;4.04.2023;Negative;Negative;Neutral;;9723999786;10025;102
286;3.04.2023 18:00;amazon web service invest bn expanding australian cloud computing;Amazon;AMZN;3.04.2023;Positive;Positive;Neutral;;9804000092;9723999786;10025
287;10.03.2023 19:32;record deforestation brazil amazon rainforest show challenge facing lula;Amazon;AMZN;10.03.2023;Positive;Positive;Positive;;9490000153;9375;9355000305
288;1.06.2023 15:00;brazilian amazon risk taken mafia ex police chief warns;Amazon;AMZN;1.06.2023;Negative;Negative;Neutral;;115;1201100006;1216600037
289;17.06.2023 23:00;western arrogance wellness movement co opted amazon frog toxin deadly effect;Amazon;AMZN;17.06.2023;Positive;Negative;Neutral;;1265699997;1266600037;1264199982
290;23.03.2023 19:05;u amazon driver delivers package police standoff viral video show;Amazon;AMZN;23.03.2023;Negative;Negative;Neutral;;1000400009;9894999695;9770999908
291;3.02.2023 01:50;apple post first revenue drop four year;Apple;AAPL;2.02.2023;Negative;Negative;Negative;;1439600067;1459299927;143
292;20.03.2023 21:27;amazon cut another job new round layoff;Amazon;AMZN;20.03.2023;Negative;Negative;Negative;;9243000031;9487999725;9619999695
293;29.04.2023 09:00;many bridge amazon river try kid quiz;Amazon;AMZN;29.04.2023;Positive;Negative;Neutral;;1062099991;1025699997;1049800034
294;1.01.2023 03:01;whats netflix amazon month january;Amazon;AMZN;1.01.2023;Negative;Positive;Neutral;;8304000092;8181999969;8418000031
295;22.01.2023 20:14;jair bolsonaro accused act genocide amazonian group;Amazon;AMZN;22.01.2023;Negative;Negative;Neutral;;9605000305;9545999908;9368000031
296;5.04.2023 10:40;amazon microsoft face referral uk regulator cloud service market;Amazon;AMZN;5.04.2023;Negative;Positive;Neutral;;10025;102;1032900009
297;15.02.2023 00:47;amazon deploys fleet self driving robotaxis california street;Amazon;AMZN;14.02.2023;Positive;Positive;Neutral;;1021100006;1000500031;9823999786
298;4.06.2023 15:00;forest know amazon village message world photo essay;Amazon;AMZN;4.06.2023;Positive;Positive;Neutral;;1216600037;1205800018;1227699966
299;16.06.2023 13:00;force life indigenous wisdom helped rescue child lost amazon;Amazon;AMZN;16.06.2023;Positive;Positive;Neutral;;1234300003;1265699997;1266600037
300;8.04.2023 11:00;war attrition union victory u worker amazon stalled;Amazon;AMZN;8.04.2023;Negative;Negative;Positive;;1024100037;1039499969;1010999985
301;19.02.2023 13:30;cattle coca drive deforestation amazon colombia report;Amazon;AMZN;19.02.2023;Negative;Negative;Neutral;;9954000092;9969999695;1011600037
302;20.05.2023 15:00;thousand amazon staffer pouring seattle office restore downtown fortune;Amazon;AMZN;20.05.2023;Positive;Positive;Neutral;;1111999969;1134000015;1155
303;7.05.2023 11:02;amazon tesco join coalition compassion know welfare state failing gordon brown;Amazon;AMZN;7.05.2023;Negative;Positive;Neutral;;1020500031;1036299973;1036500015
304;28.03.2023 02:45;amazon warehouse parking lot play queer ageing capitalism win prize;Amazon;AMZN;27.03.2023;Positive;Positive;Neutral;;9770999908;1006100006;9869999695
305;13.02.2023 18:41;amazon worker coventry go strike seven day;Amazon;AMZN;13.02.2023;Negative;Negative;Negative;;1021800003;1021100006;1000500031
306;22.03.2023 16:48;amazon uk staff plan strike reject pay rise insult;Amazon;AMZN;22.03.2023;Negative;Negative;Negative;;9619999695;1000400009;9894999695
307;27.02.2023 08:00;dom phillips widow follow raising awareness crisis amazon;Amazon;AMZN;27.02.2023;Negative;Positive;Neutral;;9458000183;9579000092;9581999969
308;19.03.2023 17:00;fake eyelash remover used party drug delisted amazon sydney worldpride ban;Amazon;AMZN;19.03.2023;Negative;Negative;Neutral;;9243000031;9487999725;9619999695
309;10.01.2023 21:53;amazon shut three uk warehouse putting job risk;Amazon;AMZN;10.01.2023;Negative;Negative;Neutral;;8581999969;8513999939;8312000275
310;26.02.2023 12:00;amazon union leader fly help uk striker kick door;Amazon;AMZN;26.02.2023;Positive;Positive;Neutral;;9458000183;9579000092;9581999969
311;9.01.2023 11:00;lack respect outcry amazon employee death warehouse floor;Amazon;AMZN;9.01.2023;Negative;Negative;Neutral;;8581999969;8513999939;8312000275
312;5.06.2023 08:00;jump child death reveals impact industrialisation amazon indigenous people;Amazon;AMZN;5.06.2023;Negative;Negative;Negative;;1216600037;1205800018;1227699966
313;27.01.2023 16:13;brazil asleep rain come hope reawakens amazon;Amazon;AMZN;27.01.2023;Negative;Positive;Neutral;;9725;9751999664;9631999969
314;26.01.2023 22:24;human activity drought degrading third amazon rainforest;Amazon;AMZN;26.01.2023;Negative;Positive;Positive;;9368000031;9725;9751999664
315;25.01.2023 20:54;first uk industrial action amazon making impact say gmb;Amazon;AMZN;25.01.2023;Positive;Positive;Neutral;;9545999908;9368000031;9725
316;6.04.2023 17:32;cma investigate amazon bn takeover roomba firm;Amazon;AMZN;6.04.2023;Positive;Negative;Neutral;;102;1032900009;1024100037
317;19.03.2023 23:16;morning mail amazon act party drug loophole credit suisse takeover deal perrottet talk poky;Amazon;AMZN;19.03.2023;Negative;Negative;Neutral;;9243000031;9487999725;9619999695
318;5.01.2023 16:07;amazon axe worker u tech firm cut job;Amazon;AMZN;5.01.2023;Negative;Negative;Neutral;;8418000031;84;8581999969
319;25.01.2023 18:26;amazon play impact first strike uk worker happened;Amazon;AMZN;25.01.2023;Negative;Negative;Negative;;9545999908;9368000031;9725
320;21.07.2023 22:43;top tech firm commit ai safeguard amid fear pace change;Apple;AAPL;21.07.2023;Negative;Positive;Neutral;;1906900024;1939900055;1937299957
321;22.01.2023 03:05;first industrial action amazon uk hope strike firm union hostility;Amazon;AMZN;22.01.2023;Negative;Negative;Neutral;;9605000305;9545999908;9368000031
322;1.06.2023 02:01;amazon main uk division pay corporation tax second year row;Amazon;AMZN;31.05.2023;Negative;Positive;Neutral;;11675;115;1201100006
323;29.07.2023 13:00;like robot thing make u human ground inside story strike amazon;Amazon;AMZN;29.07.2023;Positive;Negative;Neutral;;1288000031;1291300049;1281499939
324;21.01.2023 10:00;carbon pirate preying amazon indigenous community;Amazon;AMZN;21.01.2023;Negative;Negative;Neutral;;9605000305;9545999908;9368000031
325;9.03.2023 10:16;amazon daisy jones six missing star quality;Amazon;AMZN;9.03.2023;Negative;Negative;Neutral;;9212999725;9490000153;9375
326;3.01.2023 17:00;lula save amazon record show might pull andre pagliarini;Amazon;AMZN;3.01.2023;Negative;Negative;Negative;;8304000092;8181999969;8418000031
327;1.06.2023 15:00;bruno pereira dom phllips killed amazon indigenous ally risk death carry work;Amazon;AMZN;1.06.2023;Negative;Negative;Negative;;115;1201100006;1216600037
328;9.01.2023 20:46;prince harrys memoir hit amazon predicted one year bestseller;Amazon;AMZN;9.01.2023;Positive;Positive;Neutral;;8581999969;8513999939;8312000275
329;2.07.2023 09:00;big picture celebration life peruvian rainforest;Amazon;AMZN;2.07.2023;Positive;Positive;Neutral;;1273300018;1291799927;1290399933
330;6.06.2023 00:30;tribute paid dom phillips bruno pereira year death;Tesla;TSLA;5.06.2023;Negative;Positive;Neutral;;2011600037;2039299927;2075200043
331;4.06.2023 12:30;event brazil uk celebrate life dom phillips bruno pereira;Microsoft;MSFT;4.06.2023;Positive;Positive;Neutral;;3312099915;3283900146;3325799866
332;20.05.2023 00:19;ex chief brazil indigenous agency charged murder bruno pereira dom phillips;Microsoft;MSFT;19.05.2023;Negative;Negative;Negative;;3089700012;3094599915;3117399902
333;2.06.2023 08:56;friday briefing year murder vital work bruno pereira dom phillips carry;Microsoft;MSFT;2.06.2023;Negative;Positive;Neutral;;3328900146;3312099915;3283900146
334;5.06.2023 20:32;guardian view bruno doms legacy defend nature defender editorial;Microsoft;MSFT;5.06.2023;Positive;Positive;Neutral;;3312099915;3283900146;3325799866
335;1.06.2023 15:00;one year death bruno pereira dom phillips work must go;Microsoft;MSFT;1.06.2023;Negative;Negative;Neutral;;3259200134;3328900146;3312099915
336;4.08.2023 00:39;apple revenue fall third straight quarter company invests heavily ai;Apple;AAPL;3.08.2023;Negative;Negative;Negative;;1932200012;1958300018;1964499969
337;22.05.2023 08:57;monday briefing take reverse damage done rainforest jair bolsonaro;Amazon;AMZN;22.05.2023;Negative;Negative;Neutral;;1111999969;1134000015;1155
338;30.07.2023 18:03;joy defiance gathering led amazonian chief raoni metuktire;Amazon;AMZN;30.07.2023;Positive;Negative;Neutral;;1288000031;1291300049;1281499939
339;14.02.2023 15:42;ikea foundation sends shelter syria turkey firm offer earthquake aid;Amazon;AMZN;14.02.2023;Positive;Positive;Neutral;;1021100006;1000500031;9823999786
340;2.03.2023 10:00;theyre concerned profit osha doj take amazon grueling working condition;Amazon;AMZN;2.03.2023;Negative;Negative;Negative;;9581999969;935;9376000214
341;25.04.2023 02:01;major tech firm face hefty fine new digital consumer bill;Google;GOOG;24.04.2023;Positive;Positive;Positive;;1064199982;1051200027;1050199966
342;13.02.2023 11:00;desantiss corporate donor fire hypocrisy black history month;Tesla;TSLA;13.02.2023;Negative;Negative;Neutral;;1947599945;1968099976;2012899933
343;12.04.2023 18:00;accc bos want new power crack online business make hard cancel subscription;Apple;AAPL;12.04.2023;Negative;Positive;Neutral;;1637599945;1646600037;1620299988
344;6.01.2023 17:00;job cut falling share go wrong u tech sector;Tesla;TSLA;6.01.2023;Negative;Negative;Negative;;1231800003;1080999985;1136399994
345;3.06.2023 20:00;youre looking die brazil river illegal fishing threatens life;Amazon;AMZN;3.06.2023;Negative;Negative;Neutral;;1216600037;1205800018;1227699966
346;21.04.2023 09:00;gold standard peru miner phase mercury bid clean industry;Amazon;AMZN;21.04.2023;Positive;Positive;Neutral;;1025100021;1027399979;1023000031
347;18.07.2023 21:51;meta make new version ai model available free charge microsoft;Microsoft;MSFT;18.07.2023;Positive;Positive;Neutral;;3324700012;3372000122;3426600037
348;29.01.2023 13:00;bezos washington post show honeymoon tech mogul medium owner;Amazon;AMZN;29.01.2023;Negative;Negative;Neutral;;9751999664;9631999969;9718000031
349;3.07.2023 10:27;tesla delivers record number car price cut lift sale;Tesla;TSLA;3.07.2023;Positive;Negative;Positive;;2410500031;2502100067;2562399902
350;24.06.2023 10:00;streaming roald dahl matilda musical best adaptation classic childrens book;Amazon;AMZN;24.06.2023;Positive;Positive;Neutral;;1257799988;1248300018;1301499939
351;13.07.2023 01:02;u uk call gratitude kyiv zelenskiys nato complaint;Tesla;TSLA;12.07.2023;Negative;Positive;Neutral;;282480011;2765400085;2744299927
352;13.04.2023 09:00;sonos era review sparkling wifi hi fi raise bar spatial audio;Tesla;TSLA;13.04.2023;Positive;Positive;Neutral;;1850599976;1845099945;1867899933
353;27.07.2023 18:26;brazil descendant african escaped slavery gain census recognition;Amazon;AMZN;27.07.2023;Positive;Positive;Neutral;;1299600067;130;1288000031
354;2.02.2023 09:00;meps launch site eu official report shady lobbying big tech;Tesla;TSLA;2.02.2023;Negative;Negative;Neutral;;1602700043;1778999939;1666600037
355;5.06.2023 15:00;best tv far;Apple;AAPL;5.06.2023;Positive;Positive;Neutral;;1773000031;17725;1800899963
356;1.06.2023 18:00;deadloch review ripsnorting whodunnit pump new blood old trope;Amazon;AMZN;1.06.2023;Negative;Positive;Neutral;;115;1201100006;1216600037
357;2.07.2023 13:00;sriracha lover feel heat hot sauce shortage continues;Tesla;TSLA;2.07.2023;Negative;Negative;Neutral;;2410500031;2502100067;2562399902
358;8.02.2023 10:00;cost loving valentine day idea wont break bank;Amazon;AMZN;8.02.2023;Positive;Positive;Neutral;;1051500015;1129100037;1033899994
359;29.03.2023 19:43;amazonian love god mockery god say wakefield christian;Amazon;AMZN;29.03.2023;Negative;Negative;Neutral;;9869999695;9870999908;9812999725
